No,Provinsi,IKLH,Curah Hujan (mm),Temperature,Jumlah Penduduk,"Timbulan Sampah 
ton/Hari","Kepadatan Penduduk
jiwa/km2","Luas Wilayah
km2",Angka Harapan Hidup
1,Aceh,76.12,1575,27.1,5274.9,678.4,93,57956,69.98
2,Sumatera Utara,62.49,976,27.4,14799.4,4282.8,200,72981.23,69.15
3,Sumatera Barat,69.64,3548,26.5,5534.5,1972.1,130,42012.89,69.52
4,Riau,62.47,2048,27.2,6394.1,2384.7,80,87023.66,71.65
5,Jambi,68.06,1695,27,2064.6,1014.4,72,50058.16,71.17
6,Sumatera Selatan,61.41,1947,27.7,3548.2,3884.5,92,91592.43,69.93
7,Bengkulu,64.41,2669,27,8467.4,157.4,100,19919.33,69.37
8,Lampung,57.37,1628,27.1,1455.7,1355.1,244,34623.8,70.70
9,Bangka Belitung,64.85,1535,27.3,2010.7,561.4,91,16424.06,70.68
10,Kepulauan Riau,67,2251,27,9007.8,1287.9,267,8201.72,69.99
11,DKI Jakarta,42.84,2170,28.4,10562.1,8369.3,15900,664.01,72.95
12,Jawa Barat,51.64,2199,23.5,48274.2,9974.7,1394,35377.76,73.15
13,Jawa Tengah,60.97,1621,28.5,11904.6,11844.1,1058,32800.69,74.41
14,DI Yogyakarta,49.24,2046,26.1,36516,2124.1,1227,3133.15,75.03
15,Jawa Timur,60.25,2025,28,3668.7,10540.8,831,47803.49,71.35
16,Banten,51.09,1310,27.3,40665.7,3616.3,1338,9662.92,70.01
17,Bali,63.09,1134,27.3,5414.4,2479.2,750,5780.06,72.16
18,Nusa Tenggara Barat,64.56,1148,26.1,2670,556.8,273,18572.32,66.51
19,Nusa Tenggara Timur,69.67,1406,27.5,4073.6,243.1,112,48718.1,67.06
20,Kalimantan Barat,65.92,2758,26.9,3766,1436.7,34,147307,70.74
21,Kalimantan Tengah,74.2,2748,27.7,701.8,968.4,18,153564.5,69.75
22,Kalimantan Selatan,61.94,2510,27,2621.9,1268.8,110,38744.23,68.69
23,Kalimantan Timur,80.87,2069,27.9,1171.7,1635.5,29,129066.64,74.38
24,Kalimantan Utara,78.98,2312,27.6,2985.7,221.1,10,75467.7,72.54
25,Sulawesi Utara,65.15,1807,27,9073.5,847.2,181,13892.47,71.75
26,Sulawesi Selatan,67.61,461,28.4,1419.2,3078.9,49,61841.29,68.75
27,Sulawesi Tengah,80.23,3382,27.3,2624.9,727.9,189,46717.48,70.62
28,Sulawesi Tenggara,72.03,1590,26.9,4317.4,258.4,71,38067.7,71.34
29,Gorontalo,74.97,871,27.3,5320.1,205.6,107,11257.07,68.12
30,Sulawesi Barat,72.03,1168,27.9,5325.6,382.6,82,16787.18,65.11
31,Maluku,79.55,1987,26.5,1848.9,301.3,38,46914.03,66.03
32,Maluku Utara,78.44,913,27.3,1282.9,214.0,39,31982.5,68.38
33,Papua Barat,83.96,2845,27.4,1134.1,156.7,9,102955.15,66.05
34,Papua,81.79,1266,27.8,4303.7,337.1,11,319036.05,65.84
